year,model,body_style,price,mileage,city
2020,Envision,SUV,18999.0,58735.0,Baldwinsville
2020,Equinox,SUV,19745.0,45435.0,East Syracuse
2020,Escape,SUV,19943.0,18449.0,Central Square
2020,Escape,SUV,19996.0,37699.0,Camden
2020,Equinox,SUV,19999.0,21010.0,Baldwinsville
2020,CX-5,SUV,20495.0,75195.0,East Syracuse
2020,Sorento,SUV,20500.0,66255.0,Syracuse
2020,Equinox,SUV,20501.0,43101.0,Rome
2020,Forester,SUV,20655.0,94568.0,Auburn
2020,CR-V,SUV,20888.0,99583.0,Liverpool
2020,Equinox,SUV,20937.0,37584.0,East Syracuse
2020,Rogue,SUV,20955.0,55878.0,East Syracuse
2020,Cherokee,SUV,20995.0,87829.0,Syracuse
2020,Cherokee,SUV,21455.0,51026.0,Liverpool
2020,Prius,Hatchback,21500.0,56897.0,Oneida
2020,Terrain,SUV,21567.0,77178.0,Syracuse
2020,CX-5,SUV,21777.0,83285.0,Syracuse
2020,Escape,SUV,21994.0,42977.0,Central Square
2020,CX-5,SUV,21995.0,42550.0,Auburn
2020,Escape,SUV,21999.0,20535.0,Syracuse
2020,Santa Fe,SUV,21999.0,30669.0,Baldwinsville
2020,Cherokee,SUV,22104.0,59981.0,Rome
2020,Cherokee,SUV,22455.0,55211.0,Phoenix
2020,Cherokee,SUV,22814.0,51424.0,Cicero
2020,Equinox,SUV,22950.0,50611.0,East Syracuse
2020,Explorer,SUV,22995.0,98116.0,Bridgeport
2020,Equinox,SUV,22999.0,28154.0,Oneida
2020,Explorer,SUV,23444.0,84375.0,Syracuse
2020,Ascent,SUV,23800.0,60085.0,Central Square
2020,Enclave,SUV,23890.0,52746.0,Boonville
2020,Explorer,SUV,23914.0,76438.0,Carthage
2020,CR-V,SUV,23955.0,23943.0,Liverpool
2020,Cherokee,SUV,23995.0,30000.0,Bridgeport
2020,Atlas Cross Sport,SUV,24070.0,50973.0,Cicero
